time,rf,Nino34
1950-01-31,39.700043,-1.05
1950-02-28,30.043282,-1.5
1950-03-31,30.407682,-1.07
1950-04-30,24.034555,-0.91
1950-05-31,51.23256,-1.3
1950-06-30,149.96375,-0.86
1950-07-31,325.85892,-1.08
1950-08-31,238.35495,-0.63
1950-09-30,186.55077,-1.1
1950-10-31,50.360546,-0.83
1950-11-30,25.137194,-1.38
1950-12-31,7.91237,-1.04
1951-01-31,14.480875,-1.13
1951-02-28,10.41827,-0.74
1951-03-31,40.74225,-0.77
1951-04-30,49.25944,-0.17
1951-05-31,58.05068,-0.1
1951-06-30,145.51022,-0.09
1951-07-31,238.54247,0.66
1951-08-31,210.5696,0.9
1951-09-30,115.27913,0.67
1951-10-31,67.30111,0.79
1951-11-30,34.924324,0.78
1951-12-31,3.818033,0.71
1952-01-31,8.711527,0.39
1952-02-29,17.332342,0.24
1952-03-31,33.056885,0.04
1952-04-30,31.97917,0.41
1952-05-31,68.28287,-0.38
1952-06-30,161.80525,-0.66
1952-07-31,273.45,-0.59
1952-08-31,243.57135,-0.42
1952-09-30,120.800896,-0.35
1952-10-31,75.43173,-0.04
1952-11-30,7.1777716,-0.32
1952-12-31,19.53416,-0.55
1953-01-31,26.385447,0.36
1953-02-28,9.721606,0.24
1953-03-31,28.367481,0.22
1953-04-30,34.21813,0.77
1953-05-31,49.12703,0.35
1953-06-30,154.63766,0.41
1953-07-31,307.0953,0.2
1953-08-31,283.26196,0.04
1953-09-30,168.85297,0.67
1953-10-31,80.745995,0.11
1953-11-30,11.364538,0.31
1953-12-31,6.9605794,0.15
1954-01-31,31.289576,0.39
1954-02-28,31.418749,0.21
1954-03-31,16.86796,0.01
1954-04-30,28.964447,-0.32
1954-05-31,58.30998,-0.53
1954-06-30,144.76408,-0.8
1954-07-31,288.5891,-1.02
1954-08-31,222.63191,-1.08
1954-09-30,231.14966,-1.03
1954-10-31,72.91769,-0.91
1954-11-30,3.980337,-1.17
1954-12-31,15.170291,-0.79
1955-01-31,21.400957,-0.66
1955-02-28,4.591905,-0.79
1955-03-31,29.062078,-0.8
1955-04-30,31.859343,-0.95
1955-05-31,71.6723,-1.23
1955-06-30,172.27272,-1.2
1955-07-31,236.03076,-1.32
1955-08-31,297.5666,-0.91
1955-09-30,207.49153,-1.33
1955-10-31,142.70296,-1.59
1955-11-30,22.946674,-1.91
1955-12-31,10.052504,-1.52
1956-01-31,17.489582,-1.23
1956-02-29,10.736677,-0.98
1956-03-31,32.008434,-0.93
1956-04-30,34.855125,-0.78
1956-05-31,89.906425,-0.59
1956-06-30,200.35103,-0.83
1956-07-31,334.10562,-0.94
1956-08-31,242.14934,-0.81
1956-09-30,158.22151,-0.91
1956-10-31,147.45378,-0.69
1956-11-30,41.233173,-1.01
1956-12-31,13.820755,-0.58
1957-01-31,36.143154,-0.56
1957-02-28,13.110882,-0.24
1957-03-31,25.167118,0.08
1957-04-30,33.58984,0.42
1957-05-31,70.951546,0.45
1957-06-30,147.28204,0.53
1957-07-31,286.47867,0.69
1957-08-31,256.33197,0.79
1957-09-30,124.65072,0.53
1957-10-31,58.731663,0.74
